Início da produção: 2026-01-12 12-29-52
Tamanho: 269ml_FIT | Feed: 5.1312
==================================================
2026-01-12 17-24-43: Main: 3315, Feed: 5.1312
2026-01-12 17-24-44: Main: 3345, Feed: 5.1312
2026-01-12 17-24-46: Main: 3375, Feed: 5.1312
2026-01-12 17-24-47: Main: 3405, Feed: 5.1312
2026-01-12 17-24-48: Main: 3435, Feed: 5.1312
2026-01-12 17-24-49: Main: 3450, Feed: 5.1312
2026-01-12 17-24-50: Main: 3480, Feed: 5.1312
2026-01-12 17-24-51: Main: 3510, Feed: 5.1312
2026-01-12 17-24-52: Main: 3540, Feed: 5.1312
2026-01-12 17-24-53: Main: 3570, Feed: 5.1312
2026-01-12 17-24-54: Main: 3600, Feed: 5.1312
2026-01-12 17-24-55: Main: 3630, Feed: 5.1312
2026-01-12 17-24-56: Main: 3660, Feed: 5.1312
2026-01-12 17-24-57: Main: 3690, Feed: 5.1312
2026-01-12 17-24-58: Main: 3720, Feed: 5.1312
2026-01-12 17-24-59: Main: 3735, Feed: 5.1312
2026-01-12 17-25-00: Main: 3765, Feed: 5.1312
2026-01-12 17-25-01: Main: 3795, Feed: 5.1312
2026-01-12 17-25-02: Main: 3825, Feed: 5.1312
2026-01-12 17-25-03: Main: 3855, Feed: 5.1312
2026-01-12 17-25-04: Main: 3885, Feed: 5.1312
2026-01-12 17-25-05: Main: 3915, Feed: 5.1312
2026-01-12 17-25-07: Main: 3945, Feed: 5.1312
2026-01-12 17-25-08: Main: 3975, Feed: 5.1312
2026-01-12 17-25-09: Main: 4005, Feed: 5.1312
2026-01-12 17-25-10: Main: 4035, Feed: 5.1312
2026-01-12 17-25-11: Main: 4065, Feed: 5.1312
2026-01-12 17-25-12: Main: 4080, Feed: 5.1312
2026-01-12 17-25-13: Main: 4110, Feed: 5.1312
2026-01-12 17-25-14: Main: 4140, Feed: 5.1312
2026-01-12 17-25-15: Main: 4170, Feed: 5.1312
2026-01-12 17-25-16: Main: 4200, Feed: 5.1312
2026-01-12 17-25-17: Main: 4230, Feed: 5.1312
2026-01-12 17-25-18: Main: 4260, Feed: 5.1312
2026-01-12 17-25-19: Main: 4290, Feed: 5.1312
2026-01-12 17-25-20: Main: 4320, Feed: 5.1312
2026-01-12 17-25-21: Main: 4350, Feed: 5.1312
2026-01-12 17-25-22: Main: 4365, Feed: 5.1312
2026-01-12 17-25-23: Main: 4395, Feed: 5.1312
2026-01-12 17-25-24: Main: 4425, Feed: 5.1312
2026-01-12 17-25-25: Main: 4455, Feed: 5.1312
2026-01-12 17-25-26: Main: 4485, Feed: 5.1312
2026-01-12 17-25-27: Main: 4515, Feed: 5.1312
2026-01-12 17-25-29: Main: 4545, Feed: 5.1312
2026-01-12 17-25-30: Main: 4575, Feed: 5.1312
2026-01-12 17-25-31: Main: 4605, Feed: 5.1312
2026-01-12 17-25-32: Main: 4635, Feed: 5.1312
2026-01-12 17-25-33: Main: 4665, Feed: 5.1312
